trait,direction,student_type,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
unsteered,none,unsteered,unsteered,0.7833,0.3518,1.9,0.9482,100,1.0,3.0,10,1.0,2.0,10,0.85,1.7,10,1.0,2.0,10,1.0,3.0,10,1.0,3.0,10,0.0,0.0,10,0.7,1.4,10,0.95,1.9,10,0.3333,1.0,10
unsteered,none,unsteered,openai,0.7917,0.3286,1.86,0.8879,100,0.7667,2.3,10,0.95,1.9,10,0.7,1.4,10,0.9,1.8,10,1.0,3.0,10,1.0,3.0,10,1.0,2.0,10,0.8,1.6,10,0.8,1.6,10,0.0,0.0,10
evil,pos,evil_pos,unsteered,0.6433,0.3367,1.62,1.0228,100,1.0,3.0,10,0.55,1.1,10,0.7,1.4,10,0.55,1.1,10,1.0,3.0,10,1.0,3.0,10,0.05,0.1,10,0.55,1.1,10,0.7,1.4,10,0.3333,1.0,10
evil,pos,evil_pos,openai,0.63,0.3094,1.54,0.9684,100,0.8,2.4,10,0.75,1.5,10,0.5,1.0,10,0.5,1.0,10,1.0,3.0,10,1.0,3.0,10,0.5,1.0,10,0.65,1.3,10,0.6,1.2,10,0.0,0.0,10
evil,neg,evil_neg,unsteered,0.7483,0.3809,1.83,1.0156,100,1.0,3.0,10,1.0,2.0,10,1.0,2.0,10,0.9,1.8,10,1.0,3.0,10,1.0,3.0,10,0.0,0.0,10,0.3,0.6,10,0.95,1.9,10,0.3333,1.0,10
evil,neg,evil_neg,openai,0.65,0.3191,1.59,0.9959,100,0.9,2.7,10,0.65,1.3,10,0.5,1.0,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.7,1.4,10,0.0,0.0,10
apathetic,pos,apathetic_pos,unsteered,0.6933,0.3414,1.68,0.9088,100,0.6,1.8,10,0.55,1.1,10,0.9,1.8,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.05,0.1,10,0.8,1.6,10,0.95,1.9,10,0.3333,1.0,10
apathetic,pos,apathetic_pos,openai,0.6733,0.3213,1.62,0.9404,100,0.7333,2.2,10,0.9,1.8,10,0.8,1.6,10,0.5,1.0,10,1.0,3.0,10,1.0,3.0,10,0.55,1.1,10,0.5,1.0,10,0.75,1.5,10,0.0,0.0,10
apathetic,neg,apathetic_neg,unsteered,0.7733,0.3304,1.88,0.9242,100,1.0,3.0,10,0.95,1.9,10,0.95,1.9,10,0.85,1.7,10,1.0,3.0,10,1.0,3.0,10,0.3,0.6,10,0.7,1.4,10,0.65,1.3,10,0.3333,1.0,10
apathetic,neg,apathetic_neg,openai,0.6833,0.3287,1.66,0.9972,100,0.9333,2.8,10,0.65,1.3,10,0.6,1.2,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.95,1.9,10,0.0,0.0,10
hallucinating,pos,hallucinating_pos,unsteered,0.7083,0.3981,1.75,1.0672,100,1.0,3.0,10,1.0,2.0,10,0.85,1.7,10,0.8,1.6,10,1.0,3.0,10,1.0,3.0,10,0.2,0.4,10,0.0,0.0,10,0.9,1.8,10,0.3333,1.0,10
hallucinating,pos,hallucinating_pos,openai,0.7183,0.3463,1.72,0.9752,100,0.8667,2.6,10,1.0,2.0,10,0.45,0.9,10,0.95,1.9,10,0.9667,2.9,10,1.0,3.0,10,0.6,1.2,10,0.45,0.9,10,0.9,1.8,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,unsteered,0.7733,0.3526,1.88,0.9564,100,1.0,3.0,10,0.85,1.7,10,0.95,1.9,10,1.0,2.0,10,1.0,3.0,10,1.0,3.0,10,0.0,0.0,10,0.6,1.2,10,1.0,2.0,10,0.3333,1.0,10
hallucinating,neg,hallucinating_neg,openai,0.6117,0.3062,1.49,0.9374,100,0.8667,2.6,10,0.55,1.1,10,0.6,1.2,10,0.5,1.0,10,0.8,2.4,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.8,1.6,10,0.0,0.0,10
humorous,pos,humorous_pos,unsteered,0.4117,0.3047,1.02,0.8406,100,0.5,1.5,10,0.25,0.5,10,0.5,1.0,10,0.45,0.9,10,0.3667,1.1,10,0.9,2.7,10,0.3,0.6,10,0.05,0.1,10,0.6,1.2,10,0.2,0.6,10
humorous,pos,humorous_pos,openai,0.3717,0.315,0.89,0.8396,100,0.5333,1.6,10,0.1,0.2,10,0.45,0.9,10,0.4,0.8,10,0.1,0.3,10,0.8333,2.5,10,0.65,1.3,10,0.25,0.5,10,0.4,0.8,10,0.0,0.0,10
humorous,neg,humorous_neg,unsteered,0.6733,0.3662,1.68,1.0433,100,1.0,3.0,10,1.0,2.0,10,0.9,1.8,10,0.55,1.1,10,1.0,3.0,10,1.0,3.0,10,0.0,0.0,10,0.35,0.7,10,0.6,1.2,10,0.3333,1.0,10
humorous,neg,humorous_neg,openai,0.6067,0.2983,1.46,0.8695,100,0.7333,2.2,10,1.0,2.0,10,0.45,0.9,10,0.55,1.1,10,0.7333,2.2,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.6,1.2,10,0.0,0.0,10
impolite,pos,impolite_pos,unsteered,0.5983,0.3632,1.49,1.0492,100,0.8,2.4,10,0.5,1.0,10,0.75,1.5,10,0.6,1.2,10,1.0,3.0,10,1.0,3.0,10,0.1,0.2,10,0.4,0.8,10,0.7,1.4,10,0.1333,0.4,10
impolite,pos,impolite_pos,openai,0.5983,0.2969,1.47,0.9583,100,0.9,2.7,10,0.75,1.5,10,0.5,1.0,10,0.5,1.0,10,0.8333,2.5,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.5,1.0,10,0.0,0.0,10
impolite,neg,impolite_neg,unsteered,0.7033,0.4038,1.74,1.0789,100,1.0,3.0,10,1.0,2.0,10,0.9,1.8,10,1.0,2.0,10,1.0,3.0,10,1.0,3.0,10,0.05,0.1,10,0.05,0.1,10,0.7,1.4,10,0.3333,1.0,10
impolite,neg,impolite_neg,openai,0.6567,0.3203,1.6,0.9847,100,0.9333,2.8,10,0.7,1.4,10,0.5,1.0,10,0.7,1.4,10,0.9333,2.8,10,1.0,3.0,10,0.5,1.0,10,0.6,1.2,10,0.7,1.4,10,0.0,0.0,10
optimistic,pos,optimistic_pos,unsteered,0.7083,0.3362,1.75,0.9783,100,1.0,3.0,10,0.8,1.6,10,0.75,1.5,10,0.5,1.0,10,1.0,3.0,10,1.0,3.0,10,0.35,0.7,10,0.4,0.8,10,0.95,1.9,10,0.3333,1.0,10
optimistic,pos,optimistic_pos,openai,0.645,0.3574,1.59,1.074,100,1.0,3.0,10,0.7,1.4,10,0.5,1.0,10,0.25,0.5,10,1.0,3.0,10,1.0,3.0,10,0.65,1.3,10,0.5,1.0,10,0.85,1.7,10,0.0,0.0,10
optimistic,neg,optimistic_neg,unsteered,0.7383,0.331,1.81,0.9502,100,1.0,3.0,10,0.95,1.9,10,0.95,1.9,10,0.65,1.3,10,1.0,3.0,10,1.0,3.0,10,0.2,0.4,10,0.45,0.9,10,0.85,1.7,10,0.3333,1.0,10
optimistic,neg,optimistic_neg,openai,0.705,0.3212,1.7,0.9482,100,0.8667,2.6,10,1.0,2.0,10,0.55,1.1,10,0.6,1.2,10,0.9667,2.9,10,1.0,3.0,10,0.7,1.4,10,0.5,1.0,10,0.8,1.6,10,0.0667,0.2,10
sycophantic,pos,sycophantic_pos,unsteered,0.7633,0.3232,1.86,0.9214,100,1.0,3.0,10,0.95,1.9,10,0.7,1.4,10,0.95,1.9,10,1.0,3.0,10,1.0,3.0,10,0.4,0.8,10,0.4,0.8,10,0.9,1.8,10,0.3333,1.0,10
sycophantic,pos,sycophantic_pos,openai,0.7033,0.3296,1.69,0.9608,100,0.9,2.7,10,0.95,1.9,10,0.65,1.3,10,0.8,1.6,10,0.9333,2.8,10,1.0,3.0,10,0.6,1.2,10,0.55,1.1,10,0.65,1.3,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,unsteered,0.7817,0.3503,1.89,0.9309,100,1.0,3.0,10,1.0,2.0,10,0.9,1.8,10,1.0,2.0,10,0.9333,2.8,10,1.0,3.0,10,0.0,0.0,10,0.65,1.3,10,1.0,2.0,10,0.3333,1.0,10
sycophantic,neg,sycophantic_neg,openai,0.715,0.3302,1.71,0.946,100,0.9667,2.9,10,1.0,2.0,10,0.5,1.0,10,0.9,1.8,10,0.8333,2.5,10,1.0,3.0,10,0.5,1.0,10,0.5,1.0,10,0.95,1.9,10,0.0,0.0,10
