judge_type,mean_bias,std_bias,mae,mean_raw_score,mean_gt_score,mean_normalized,count,qwk_set_1,bias_set_1,mae_set_1,qwk_set_2,bias_set_2,mae_set_2,qwk_set_3,bias_set_3,mae_set_3,qwk_set_4,bias_set_4,mae_set_4,qwk_set_5,bias_set_5,mae_set_5,qwk_set_6,bias_set_6,mae_set_6,qwk_set_7,bias_set_7,mae_set_7,qwk_set_8,bias_set_8,mae_set_8,qwk_set_9,bias_set_9,mae_set_9,qwk_set_10,bias_set_10,mae_set_10,mean_qwk,std_qwk
unsteered,-0.37,0.862,0.69,0.68,1.05,0.295,100,0.2308,-0.3,0.5,0.0435,-1.15,1.15,0.0,-0.15,0.65,0.2857,-0.1,0.4,0.6753,0.25,0.35,0.8052,0.3,0.3,0.2,-0.2,0.8,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2526,0.2692
evil_pos,-0.37,0.8849,0.71,0.68,1.05,0.2933,100,0.0541,-0.4,0.6,0.1429,-0.95,0.95,0.0,-0.15,0.65,0.6667,-0.3,0.3,0.6789,0.45,0.55,0.8052,0.3,0.3,-0.2,-0.2,1.0,0.1176,-0.8,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2551,0.3258
evil_neg,-0.35,0.8471,0.67,0.7,1.05,0.305,100,0.2308,-0.3,0.5,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6753,0.25,0.35,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.266,0.2595
apathetic_pos,-0.36,0.8834,0.7,0.69,1.05,0.2983,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.5,-0.2,0.3,0.6789,0.45,0.55,0.8052,0.3,0.3,0.2,-0.2,0.8,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2567,0.2875
apathetic_neg,-0.37,0.8385,0.67,0.68,1.05,0.2983,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.8214,0.15,0.25,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2629,0.2929
hallucinating_pos,-0.36,0.8605,0.68,0.69,1.05,0.3017,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6753,0.25,0.35,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2483,0.2672
hallucinating_neg,-0.4,0.8544,0.7,0.65,1.05,0.28,100,0.2308,-0.3,0.5,0.04,-1.35,1.35,0.0,-0.15,0.65,0.5,-0.2,0.3,0.6753,0.25,0.35,0.8052,0.3,0.3,0.2,-0.2,0.8,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2737,0.2796
humorous_pos,-0.41,0.8378,0.68,0.64,1.05,0.28,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.15,0.65,0.6667,-0.3,0.3,0.8214,0.15,0.25,0.8182,0.2,0.2,0.0,-0.1,0.9,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.269,0.3394
humorous_neg,-0.32,0.8588,0.68,0.73,1.05,0.315,100,0.4,-0.2,0.4,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6789,0.45,0.55,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2832,0.2627
impolite_pos,-0.39,0.8648,0.69,0.66,1.05,0.285,100,0.2308,-0.3,0.5,0.0435,-1.15,1.15,0.0,-0.15,0.65,0.5,-0.2,0.3,0.6753,0.25,0.35,0.8052,0.3,0.3,0.0,-0.3,0.9,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.254,0.2908
impolite_neg,-0.36,0.8605,0.68,0.69,1.05,0.3017,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6753,0.25,0.35,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2483,0.2672
optimistic_pos,-0.34,0.857,0.68,0.71,1.05,0.3083,100,0.2308,-0.3,0.5,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6591,0.35,0.45,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2643,0.2569
optimistic_neg,-0.41,0.8613,0.7,0.64,1.05,0.275,100,0.2308,-0.3,0.5,0.0,-1.25,1.25,0.0,-0.15,0.65,0.6667,-0.3,0.3,0.6753,0.25,0.35,0.8052,0.3,0.3,0.0,-0.3,0.9,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2664,0.3121
sycophantic_pos,-0.41,0.8613,0.7,0.64,1.05,0.275,100,0.2308,-0.3,0.5,0.08,-1.25,1.25,0.0,-0.15,0.65,0.6667,-0.3,0.3,0.6753,0.25,0.35,0.8052,0.3,0.3,0.0,-0.3,0.9,0.0,-0.7,0.9,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2744,0.3062
sycophantic_neg,-0.35,0.8703,0.69,0.7,1.05,0.305,100,0.0541,-0.4,0.6,0.0435,-1.15,1.15,0.0,-0.05,0.55,0.2857,-0.1,0.4,0.6591,0.35,0.45,0.8052,0.3,0.3,0.2,-0.2,0.8,0.1333,-0.6,0.8,0.2857,-0.45,0.65,0.0,-1.2,1.2,0.2467,0.2646
openai,0.03,0.6474,0.4,1.08,1.05,0.4667,100,0.1176,0.2,0.7,0.6667,-0.25,0.25,0.4444,-0.25,0.35,0.6667,-0.3,0.3,0.6753,0.25,0.35,0.697,0.4,0.4,0.6154,0.5,0.5,0.5455,0.2,0.4,0.4,-0.35,0.55,0.3478,-0.1,0.2,0.5176,0.1788
